RK,NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
184,De'Anthony MeltonMEM,SG,60,19.5,7.6,2.7,6.7,40.2,0.7,2.3,28.6,1.6,2,76.9,3.7,2.9,1.3,0.3,1.4,0,0,13.49
185,Omari SpellmanGS,PF,49,18.1,7.6,2.6,6,43.1,0.9,2.2,39.1,1.5,1.9,79.3,4.5,1,0.7,0.5,1.1,1,0,14.45
186,Terence DavisTOR,SG,72,16.8,7.5,2.8,6.1,45.6,1.3,3.4,38.8,0.7,0.8,86.4,3.3,1.6,0.5,0.2,1.1,1,0,13.88
187,Dwight HowardLAL,C,69,18.9,7.5,2.9,4,72.9,0,0.1,60,1.6,3.1,51.4,7.3,0.7,0.4,1.1,1.2,9,0,18.7
188,Tyus JonesMEM,PG,65,19,7.4,3,6.6,45.9,0.7,1.9,37.9,0.7,0.9,74.1,1.6,4.4,0.9,0.1,0.8,0,0,15.75
189,Bismack BiyomboCHA,C,53,19.4,7.4,2.8,5.2,54.3,0,0,0,1.7,2.8,60.3,5.8,0.9,0.2,0.9,0.9,8,0,16.18
190,Jaxson HayesNO,C,64,16.9,7.4,2.7,4,67.2,0,0.1,25,1.9,3,64.7,4,0.9,0.4,0.9,0.8,3,0,17.64
191,Wesley MatthewsMIL,SG,67,24.4,7.4,2.5,6.3,39.6,1.6,4.4,36.4,0.8,1,76.5,2.5,1.4,0.6,0.1,0.6,0,0,8.1
192,Gorgui DiengMIN/MEM,C,63,17.4,7.4,2.6,5.8,45.6,0.9,2.4,35.5,1.2,1.6,77.2,5.6,1.2,0.8,0.9,1,9,0,17.16
193,Nerlens NoelOKC,C,61,18.5,7.4,3,4.4,68.4,0,0,33.3,1.3,1.7,75.5,4.9,0.9,1,1.5,1.1,3,0,20.45
194,Emmanuel MudiayUTAH,PG,54,15.7,7.3,2.8,6.1,46.2,0.6,1.6,34.5,1.2,1.5,75.9,2.3,2.1,0.4,0.2,1.4,0,0,13.07
195,Kris DunnCHI,PG,51,24.9,7.3,3,6.7,44.4,0.6,2.2,25.9,0.8,1.1,74.1,3.6,3.4,2,0.3,1.3,0,0,12.15
196,Willie Cauley-SteinDAL/GS,C,54,20.3,7.2,3.2,5.6,57.9,0,0,0,0.7,1.2,60.6,5.8,1.3,0.9,1.1,0.7,3,0,17.06
197,Mason PlumleeDEN,PF,61,17.3,7.2,2.9,4.7,61.5,0,0.1,0,1.4,2.5,53.5,5.2,2.5,0.5,0.6,1.3,2,0,18.86
198,Rondae Hollis-JeffersonTOR,SF,60,18.7,7,2.6,5.5,47.1,0.1,0.4,13,1.8,2.4,73.4,4.7,1.8,0.8,0.4,1,2,0,15.09
199,P.J. TuckerHOU,PF,72,34.3,6.9,2.5,5.9,41.5,1.5,4.2,35.8,0.5,0.7,81.3,6.6,1.6,1.1,0.5,1,6,0,8.29
200,Delon WrightDAL,PG,73,21.5,6.9,2.6,5.6,46.2,0.6,1.7,37,1.1,1.4,77,3.8,3.3,1.2,0.3,1,1,0,15.47
201,Brad WanamakerBOS,PG,71,19.3,6.9,2.3,5.1,44.8,0.5,1.4,36.3,1.8,1.9,92.6,2,2.5,0.9,0.2,1.1,0,0,12.85
202,JaMychal GreenLAC,PF,63,20.7,6.8,2.4,5.6,42.9,1.5,3.8,38.7,0.6,0.8,75,6.2,0.8,0.5,0.4,0.9,7,0,11.11
203,Damyean DotsonNY,SG,48,17.4,6.7,2.5,6,41.4,1.2,3.4,36.2,0.5,0.7,66.7,1.9,1.2,0.5,0.1,0.4,0,0,10.94
204,Kyle KorverMIL,SG,58,16.6,6.7,2.2,5.1,43,1.7,4.1,41.8,0.6,0.7,85.4,2.1,1.2,0.4,0.2,0.8,0,0,11.33
205,Chris BoucherTOR,PF,62,13.2,6.6,2.3,4.8,47.2,0.6,1.9,32.2,1.5,1.9,78.4,4.5,0.4,0.4,1,0.5,5,0,20.76
206,Nicolo MelliNO,PF,60,17.4,6.6,2.3,5.4,42.1,1.2,3.4,33.5,0.9,1.2,74,3,1.4,0.6,0.4,0.8,0,0,11.43
207,James Ennis IIIORL/PHI,SF,69,18.3,6.6,2.3,5.2,44.6,0.8,2.4,32.5,1.1,1.4,80.6,3.6,0.9,0.5,0.3,0.8,1,0,11.57
208,Ersan IlyasovaMIL,PF,63,15.7,6.6,2.3,5,46.6,0.8,2.2,36.5,1.1,1.4,82.8,4.8,0.8,0.4,0.3,0.5,5,0,14.89
209,JaVale McGeeLAL,C,68,16.6,6.6,2.9,4.5,63.7,0,0.1,50,0.8,1.2,64.6,5.7,0.5,0.5,1.4,0.8,2,0,19.39
210,T.J. McConnellIND,PG,71,18.7,6.5,3,5.8,51.6,0.1,0.2,29.4,0.5,0.6,83.3,2.7,5,0.8,0.2,1.4,2,0,16.52
211,Kevin Knox IINY,SF,65,17.9,6.4,2.2,6.2,35.9,1,3.1,32.7,1,1.6,65.3,2.8,0.9,0.4,0.4,0.7,0,0,8.38
212,Trey LylesSA,C,63,20.2,6.4,2.4,5.4,44.6,1,2.7,38.7,0.5,0.7,73.3,5.7,1.1,0.4,0.4,0.6,2,0,12.63
213,Lonnie Walker IVSA,SG,61,16.2,6.4,2.5,5.9,42.6,0.7,1.7,40.6,0.7,1,72.1,2.3,1.1,0.5,0.2,0.7,0,0,10.52
214,Cory JosephSAC,PG,72,24.4,6.4,2.4,5.7,41.5,0.8,2.2,35.2,0.8,1,85.7,2.6,3.5,0.7,0.3,1.1,0,0,10.12
215,Royce O'NealeUTAH,SF,71,28.9,6.3,2.2,5.1,43.3,1.3,3.4,37.7,0.6,0.8,76.4,5.5,2.5,0.8,0.5,0.9,2,0,9.49
216,Marco BelinelliSA,SG,57,15.5,6.3,2.2,5.5,39.2,1.2,3.1,37.6,0.8,1,82.8,1.7,1.2,0.2,0,0.3,0,0,10.86
217,Frank JacksonNO,PG,59,13.5,6.3,2.3,5.6,40.5,0.8,2.4,32.6,0.9,1.3,74.7,1.4,1,0.3,0.1,0.8,0,0,9.16
218,Abdel NaderOKC,SF,55,15.8,6.3,2.2,4.8,46.8,0.9,2.3,37.5,0.9,1.2,77.3,1.8,0.7,0.4,0.4,0.8,0,0,11.36
219,Frank NtilikinaNY,PG,57,20.8,6.3,2.3,5.8,39.3,0.8,2.4,32.1,0.9,1,86.4,2.1,3,0.9,0.3,1.2,1,0,9.85
220,Taj GibsonNY,C,62,16.5,6.1,2.7,4.6,58.4,0.1,0.2,28.6,0.7,0.9,73.2,4.3,0.8,0.4,0.5,0.8,0,0,16.14
221,Mike ScottPHI,PF,68,17.8,6,2.2,5.1,42.6,1.2,3.2,36.9,0.4,0.5,81.1,3.6,0.8,0.3,0.1,0.4,0,0,11.24
222,Georges NiangUTAH,SF,66,14,5.9,2.1,4.9,43.8,1.4,3.4,40,0.3,0.4,83.3,1.9,0.7,0.3,0.1,0.5,0,0,11.79
223,Marvin WilliamsMIL/CHA,PF,58,19.5,5.9,2.1,4.6,44.6,1,2.7,35.9,0.8,1,86,3.2,1,0.6,0.5,0.6,0,0,11.27
224,Kyle AndersonMEM,SF,67,19.9,5.8,2.3,4.9,47.4,0.4,1.3,28.2,0.8,1.2,66.7,4.3,2.4,0.8,0.6,1,0,0,12.57
225,Wes IwunduORL,SF,52,18.3,5.8,1.9,4.5,41.6,0.5,1.6,34.1,1.5,1.9,80.4,2.5,1.2,0.5,0.3,0.5,0,0,10.36
226,Maurice HarklessLAC/NY,SF,62,23,5.8,2.3,4.6,50.2,0.5,1.6,34.7,0.6,1.1,59.1,3.9,1.1,0.9,0.5,0.9,0,0,9.78
227,Jakob PoeltlSA,C,66,17.7,5.6,2.5,4,62.4,0,0,0,0.6,1.3,46.5,5.7,1.8,0.6,1.4,0.8,4,0,19.19
228,Darius BazleyOKC,SF,61,18.5,5.6,2,5.2,39.4,0.8,2.3,34.8,0.7,1,69.4,4,0.7,0.4,0.7,0.7,1,0,9.64
229,Damian JonesATL,C,55,16.1,5.6,2.2,3.2,68,0,0.2,22.2,1.1,1.5,73.8,3.7,0.6,0.5,0.7,0.5,0,0,15.58
230,Justin JacksonDAL,SF,65,16.1,5.5,2.1,5.2,39.6,0.7,2.5,29.4,0.6,0.8,84,2.4,0.8,0.2,0.2,0.2,0,0,9.5
231,Solomon HillMIA/MEM,SF,59,18.4,5.5,1.9,4.7,39.6,1.1,2.9,36.8,0.7,0.9,74.1,2.8,1.8,0.7,0.2,0.9,0,0,9.86
232,Alex CarusoLAL,SG,64,18.4,5.5,1.9,4.5,41.2,0.6,1.9,33.3,1.1,1.5,73.4,1.9,1.9,1.1,0.3,0.8,0,0,10.79
233,Torrey CraigDEN,SF,58,18.5,5.4,2.1,4.6,46.1,0.8,2.4,32.6,0.4,0.6,61.1,3.3,0.8,0.4,0.6,0.4,2,0,10.79
234,Robin LopezMIL,C,66,14.5,5.4,2.2,4.5,49.2,0.5,1.6,33.3,0.4,0.8,52.8,2.4,0.7,0.2,0.7,1,0,0,10.21
235,Pat ConnaughtonMIL,SG,67,18.6,5.4,2,4.5,45.5,0.8,2.5,33.1,0.5,0.6,77.5,4.2,1.6,0.4,0.5,0.8,0,0,11.56
236,Mo BambaORL,C,62,14.2,5.4,2.1,4.6,46.2,0.6,1.7,34.6,0.5,0.7,67.4,4.9,0.7,0.4,1.4,0.7,2,0,17.57
237,Sterling BrownMIL,SG,52,14.8,5.1,1.8,4.9,37.1,0.8,2.6,32.4,0.6,0.8,80,3.5,1,0.6,0.1,0.8,1,0,9.57
238,Raul NetoPHI,PG,54,12.4,5.1,1.9,4.1,45.5,0.6,1.6,38.6,0.7,0.9,83,1.1,1.8,0.4,0.1,0.9,0,0,12.72
239,Jerome RobinsonLAC/WSH,SG,63,15.5,5.1,1.8,4.9,37.1,0.8,2.4,32,0.6,0.9,70.2,2,1.4,0.4,0.3,0.8,0,0,7.4
240,Isaac BongaWSH,SF,66,18.9,5,1.8,3.5,50.4,0.4,1.1,35.2,1,1.3,81.2,3.4,1.2,0.7,0.3,0.9,0,0,10.23
241,Vince CarterATL,SG,60,14.6,5,1.8,5.1,35.2,1,3.4,30.2,0.4,0.5,79.3,2.1,0.8,0.4,0.4,0.6,0,0,7.58
242,Cody MartinCHA,SF,48,18.8,5,1.9,4.3,43,0.4,1.6,23.4,0.9,1.4,64.6,3.3,2,0.8,0.2,0.9,0,0,10.54
243,Patrick PattersonLAC,PF,59,13.2,4.9,1.6,3.9,40.8,1.1,2.9,39,0.6,0.7,81.4,2.6,0.7,0.1,0.1,0.4,1,0,11.57
244,Jevon CarterPHX,PG,58,16.3,4.9,1.7,4.2,41.6,1.1,2.5,42.5,0.4,0.5,85.2,2,1.4,0.8,0.3,0.6,0,0,11.36
245,Tony BradleyUTAH,C,58,11.4,4.9,2.2,3.3,66.7,0.1,0.1,100,0.5,0.8,65.2,4.6,0.4,0.2,0.6,0.5,1,0,21.78
246,Mario HezonjaPOR,SF,53,16.4,4.8,1.7,4.1,42.2,0.5,1.5,30.8,0.9,1.1,81.4,3.5,0.9,0.7,0.2,0.8,1,0,9.56
247,Matisse ThybullePHI,SG,65,19.8,4.7,1.7,4.1,42.3,0.9,2.4,35.7,0.4,0.6,61,1.6,1.2,1.4,0.7,0.8,0,0,10.02
248,Thon MakerDET,C,60,12.9,4.7,1.6,3.2,48.2,0.4,1.1,34.4,1.2,1.8,66.4,2.8,0.7,0.4,0.7,0.8,2,0,13.75
249,Ryan ArcidiaconoCHI,PG,58,16,4.5,1.6,3.8,40.9,0.9,2.4,39.1,0.5,0.7,71.1,1.9,1.7,0.5,0.1,0.6,0,0,9.04
250,Treveon GrahamATL/MIN,SG,55,16.9,4.4,1.6,4.4,36,0.6,2.2,27.5,0.7,1,64.3,2.7,0.8,0.4,0.1,0.5,0,0,6.61
251,Bruno FernandoATL,C,56,12.7,4.3,1.8,3.6,51.8,0.1,0.7,13.5,0.5,0.9,56.9,3.5,0.9,0.3,0.3,0.8,1,0,11.96
252,Elie OkoboPHX,SF,55,13.1,4,1.3,3.3,39.8,0.5,1.3,35.2,0.9,1.3,70.4,1.6,2.1,0.4,0.1,0.7,0,0,10.68
253,Terrance FergusonOKC,SF,56,22.4,3.9,1.4,3.9,35.5,0.9,3,29.2,0.3,0.4,75,1.3,0.9,0.5,0.3,0.6,0,0,3.71
254,Anthony TolliverPOR/SAC/MEM,PF,55,15.9,3.6,1.2,3.3,35.7,0.9,2.6,33.8,0.4,0.5,72.4,2.8,0.8,0.3,0.2,0.6,1,0,7
